hvac_power,other_power
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.042,0.000010
0.042,0.000010
0.042,0.000010
0.042,0.000010
0.042,0.000010
0.042,0.000010
0.042,0.000010
0.042,0.000010
0.042,0.000010
0.042,0.000010
0.042,0.000010
0.042,0.000010
0.129,0.000010
0.129,0.000010
0.129,0.000010
0.129,0.000010
0.129,0.000010
0.129,0.000010
0.129,0.000010
0.129,0.000010
0.129,0.000010
0.129,0.000010
0.129,0.000010
0.129,0.000010
0.192,0.000010
0.192,0.000010
0.192,0.000010
0.192,0.000010
0.192,0.000010
0.192,0.000010
0.192,0.000010
0.192,0.000010
0.192,0.000010
0.192,0.000010
0.192,0.000010
0.192,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.254,0.000010
0.254,0.000010
0.254,0.000010
0.254,0.000010
0.254,0.000010
0.254,0.000010
0.254,0.000010
0.254,0.000010
0.254,0.000010
0.254,0.000010
0.254,0.000010
0.254,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.229,0.000010
0.204,0.000010
0.204,0.000010
0.204,0.000010
0.204,0.000010
0.204,0.000010
0.204,0.000010
0.204,0.000010
0.204,0.000010
0.204,0.000010
0.204,0.000010
0.204,0.000010
0.204,0.000010
0.167,0.000010
0.167,0.000010
0.167,0.000010
0.167,0.000010
0.167,0.000010
0.167,0.000010
0.167,0.000010
0.167,0.000010
0.167,0.000010
0.167,0.000010
0.167,0.000010
0.167,0.000010
0.092,0.000010
0.092,0.000010
0.092,0.000010
0.092,0.000010
0.092,0.000010
0.092,0.000010
0.092,0.000010
0.092,0.000010
0.092,0.000010
0.092,0.000010
0.092,0.000010
0.092,0.000010
0.054,0.000010
0.054,0.000010
0.054,0.000010
0.054,0.000010
0.054,0.000010
0.054,0.000010
0.054,0.000010
0.054,0.000010
0.054,0.000010
0.054,0.000010
0.054,0.000010
0.054,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010
0.017,0.000010